Point Mutation:
   	      	                                fitness                                 	                      size                     
   	      	------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg      	gen	max     	min        	nevals	std     	avg    	gen	max	min	nevals	std    
0  	300   	5.63209  	0  	1080.77 	0.328818   	300   	62.2385 	3.76333	0  	7  	2  	300   	1.61678
1  	173   	1.12668  	1  	13.8049 	0.328818   	173   	1.21659 	3.55333	1  	7  	2  	173   	1.49237
2  	178   	0.972242 	2  	17.5026 	0.328818   	178   	1.32143 	3.64   	2  	8  	2  	178   	1.54177
3  	163   	0.821908 	3  	13.9441 	0.328818   	163   	0.904601	3.62333	3  	7  	2  	163   	1.55396
4  	154   	0.732679 	4  	2.9829  	0.328818   	154   	0.477803	3.92333	4  	7  	2  	154   	1.53105
5  	153   	0.740525 	5  	3.35292 	0.328818   	153   	0.535854	4.22333	5  	8  	2  	153   	1.49224
6  	173   	0.800019 	6  	14.0522 	0.328818   	173   	0.954127	4.69   	6  	8  	2  	173   	1.45163
7  	185   	0.801236 	7  	15.5923 	0.328818   	185   	1.03709 	4.93667	7  	9  	2  	185   	1.37088
8  	169   	0.734729 	8  	14.2339 	0.326936   	169   	0.981604	5.06667	8  	10 	2  	169   	1.39364
9  	154   	0.602771 	9  	2.54124 	0.315347   	154   	0.489166	5.07333	9  	11 	2  	154   	1.40521
10 	160   	0.6508   	10 	6.1116  	0.285762   	160   	0.663199	5.09   	10 	11 	3  	160   	1.50174
11 	167   	0.727812 	11 	6.1116  	0.193912   	167   	0.707428	5.14   	11 	11 	3  	167   	1.58337
12 	183   	0.619491 	12 	6.1116  	0.160607   	183   	0.593848	5.44   	12 	13 	3  	183   	1.88142
13 	143   	0.637224 	13 	14.0522 	0.150643   	143   	0.949163	5.95333	13 	14 	3  	143   	2.44632
14 	182   	0.68196  	14 	14.0522 	0.131022   	182   	1.20434 	6.83667	14 	19 	3  	182   	2.8977 
15 	182   	0.502581 	15 	2.54124 	0.0668694  	182   	0.436271	7.8    	15 	19 	3  	182   	3.33667
16 	155   	0.428871 	16 	3.35292 	0.101561   	155   	0.4217  	9.05667	16 	19 	3  	155   	3.65424
17 	169   	0.354485 	17 	1.6338  	0.0291997  	169   	0.300368	10.61  	17 	24 	3  	169   	4.13496
18 	149   	0.302025 	18 	2.86144 	0.0186552  	149   	0.395255	11.9033	18 	33 	3  	149   	4.08256
19 	161   	0.347927 	19 	14.8404 	0.0186552  	161   	1.20568 	13.1367	19 	29 	3  	161   	4.02467
20 	181   	0.326926 	20 	14.3453 	0.00775221 	181   	1.17077 	14.25  	20 	27 	3  	181   	3.90992
21 	182   	0.311375 	21 	15.1126 	0.00729712 	182   	1.23861 	15.71  	21 	30 	5  	182   	4.46459
22 	150   	3.75222  	22 	1080.34 	0.00729712 	150   	62.261  	17.0867	22 	33 	6  	150   	4.31035
23 	185   	0.164324 	23 	4.26989 	0.00221237 	185   	0.342708	18.2133	23 	37 	7  	185   	4.64914
24 	168   	0.152084 	24 	2.9596  	0.00221237 	168   	0.296119	18.49  	24 	35 	7  	168   	4.60614
25 	167   	0.141317 	25 	1.70144 	0.00203819 	167   	0.245114	18.5833	25 	35 	6  	167   	4.76827
26 	156   	0.160429 	26 	15.9426 	0.00203819 	156   	0.93372 	19.5767	26 	43 	6  	156   	5.2438 
27 	178   	0.302991 	27 	35.3336 	4.50668e-33	178   	2.46268 	21.02  	27 	44 	6  	178   	5.87137
28 	176   	0.352556 	28 	74.2324 	4.50668e-33	176   	4.27818 	22.86  	28 	46 	7  	176   	6.01002
29 	159   	0.126268 	29 	14.1187 	4.50668e-33	159   	0.832997	23.0667	29 	57 	5  	159   	6.84803
30 	154   	0.0665451	30 	1.0752  	4.50668e-33	154   	0.156609	22.5833	30 	41 	7  	154   	5.83521
31 	170   	0.16957  	31 	14.046  	4.50668e-33	170   	1.15275 	22.1467	31 	52 	5  	170   	6.96791
32 	167   	0.0989907	32 	2.01389 	4.50668e-33	167   	0.249574	21.0767	32 	41 	7  	167   	6.97836
33 	194   	0.16138  	33 	14.2184 	4.50668e-33	194   	0.846057	20.68  	33 	47 	7  	194   	7.90175
34 	158   	0.16869  	34 	26.4593 	4.50668e-33	158   	1.52808 	19.8733	34 	43 	7  	158   	7.93666
35 	156   	0.289321 	35 	31.5607 	4.50668e-33	156   	2.19794 	18.7233	35 	52 	5  	156   	7.51266
36 	169   	0.330721 	36 	26.4593 	4.50668e-33	169   	2.30254 	16.9567	36 	52 	7  	169   	5.80127
37 	163   	0.0898968	37 	1.235   	4.50668e-33	163   	0.172811	16.0467	37 	39 	7  	163   	4.07731
38 	167   	0.163398 	38 	14.136  	4.50668e-33	167   	0.835193	15.7967	38 	37 	7  	167   	3.20239
39 	174   	0.0979802	39 	1.71346 	4.50668e-33	174   	0.203913	15.66  	39 	27 	7  	174   	3.14183
40 	151   	0.174135 	40 	26.4593 	4.50668e-33	151   	1.5344  	15.8867	40 	27 	7  	151   	3.2167 
41 	150   	0.0824047	41 	0.909093	4.50668e-33	150   	0.152033	15.8533	41 	27 	7  	150   	3.17781
42 	169   	7.18355  	42 	2132.52 	4.50668e-33	169   	122.912 	15.8067	42 	29 	7  	169   	3.41408
43 	162   	0.374991 	43 	31.8821 	4.50668e-33	162   	2.65425 	15.7733	43 	27 	7  	162   	2.99142
44 	155   	0.0906069	44 	1.07866 	4.50668e-33	155   	0.176734	15.8467	44 	31 	7  	155   	3.51992
45 	172   	0.123991 	45 	14.136  	4.50668e-33	172   	0.824104	15.78  	45 	29 	7  	172   	3.16516
46 	170   	0.142023 	46 	14.136  	4.50668e-33	170   	0.832443	15.6333	46 	25 	7  	170   	3.19357
47 	179   	0.0878605	47 	0.81332 	4.50668e-33	179   	0.154371	15.6333	47 	25 	7  	179   	3.39591
48 	185   	0.264966 	48 	26.4593 	4.50668e-33	185   	1.80223 	15.5933	48 	27 	7  	185   	3.43821
49 	143   	0.223363 	49 	26.4593 	4.50668e-33	143   	1.73165 	15.8   	49 	29 	7  	143   	3.15383
50 	153   	0.272408 	50 	28.4061 	4.50668e-33	153   	2.23298 	15.6133	50 	27 	7  	153   	3.17025
51 	175   	0.183233 	51 	14.0504 	4.50668e-33	175   	0.884965	15.54  	51 	27 	7  	175   	3.10082
