   	      	                            fitness                             	                      size                      
   	      	----------------------------------------------------------------	------------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std     	avg    	gen	max	min	nevals	std     
0  	300   	1.78879 	0  	30.34  	0.450825	300   	2.67896 	3.54667	0  	7  	2  	300   	1.49482 
1  	162   	1.24169 	1  	18.9739	0.450825	162   	1.60654 	3.38667	1  	9  	2  	162   	1.45275 
2  	157   	0.870143	2  	3.35292	0.328818	157   	0.509042	3.27   	2  	9  	2  	157   	1.20986 
3  	156   	0.777496	3  	3.35292	0.328818	156   	0.496295	3.14333	3  	7  	2  	156   	0.94311 
4  	156   	0.822149	4  	2.9829 	0.328818	156   	0.538295	3.19667	4  	7  	2  	156   	0.839438
5  	179   	0.918639	5  	2.9829 	0.328818	179   	0.646842	3.35667	5  	6  	2  	179   	0.85017 
6  	166   	0.928034	6  	11.0636	0.328818	166   	0.901002	3.38667	6  	7  	2  	166   	0.925827
7  	166   	0.829302	7  	2.9829 	0.328818	166   	0.515304	3.55333	7  	8  	2  	166   	0.95594 
8  	170   	0.890665	8  	2.9829 	0.328818	170   	0.617361	3.70333	8  	7  	2  	170   	1.03376 
9  	189   	0.929912	9  	4.27872	0.310822	189   	0.659745	3.87   	9  	8  	2  	189   	1.14007 
10 	180   	0.853901	10 	6.85956	0.274004	180   	0.681037	4.24   	10 	8  	2  	180   	1.29192 
11 	145   	0.806751	11 	16.5323	0.310822	145   	1.15466 	4.61667	11 	8  	2  	145   	1.27921 
12 	187   	0.888931	12 	4.27872	0.274004	187   	0.864138	4.83   	12 	11 	2  	187   	1.37153 
13 	175   	0.76278 	13 	6.85956	0.274004	175   	0.797783	4.78667	13 	8  	2  	175   	1.24946 
14 	180   	0.65563 	14 	4.27872	0.274004	180   	0.612824	4.97333	14 	9  	2  	180   	1.39975 
15 	134   	0.591316	15 	4.00935	0.274004	134   	0.587028	5.29667	15 	10 	3  	134   	1.44982 
16 	181   	0.607189	16 	3.78519	0.274004	181   	0.566707	5.61667	16 	11 	3  	181   	1.66425 
17 	155   	0.531022	17 	3.78519	0.274004	155   	0.483473	6.02333	17 	11 	3  	155   	1.77842 
18 	158   	0.50264 	18 	3.35292	0.274004	158   	0.481357	6.30667	18 	12 	3  	158   	1.59769 
19 	157   	0.453701	19 	2.97422	0.274004	157   	0.420186	6.16333	19 	12 	3  	157   	1.66633 
20 	170   	0.477883	20 	2.30335	0.274004	170   	0.433808	5.87667	20 	11 	3  	170   	1.65775 
21 	176   	0.505249	21 	2.54124	0.274004	176   	0.475513	5.86333	21 	12 	3  	176   	1.6567  
22 	173   	0.537699	22 	2.73457	0.274004	173   	0.521087	5.90667	22 	12 	3  	173   	1.72953 
23 	178   	0.457342	23 	2.99872	0.274004	178   	0.421732	5.92   	23 	11 	3  	178   	1.6473  
24 	167   	0.459622	24 	3.62941	0.274004	167   	0.43722 	5.88   	24 	12 	3  	167   	1.56384 
25 	180   	0.507587	25 	2.43566	0.274004	180   	0.456699	5.89333	25 	12 	3  	180   	1.56054 
26 	152   	0.421096	26 	2.48983	0.274004	152   	0.369729	5.90667	26 	13 	3  	152   	1.4848  
27 	169   	0.514819	27 	2.34504	0.274004	169   	0.46748 	5.99667	27 	13 	3  	169   	1.66833 
28 	183   	0.473959	28 	2.19883	0.274004	183   	0.394597	5.96333	28 	13 	3  	183   	1.65388 
29 	173   	0.493381	29 	2.19883	0.274004	173   	0.437591	6.04   	29 	14 	3  	173   	1.7977  
30 	195   	0.534568	30 	2.5105 	0.274004	195   	0.490356	5.95   	30 	12 	3  	195   	1.81315 
31 	156   	0.452369	31 	2.21725	0.274004	156   	0.406873	6.09333	31 	13 	3  	156   	1.83429 
32 	171   	0.484577	32 	2.34504	0.274004	171   	0.431535	5.99667	32 	13 	3  	171   	1.96892 
33 	164   	0.473069	33 	2.77889	0.274004	164   	0.469971	6.12   	33 	15 	3  	164   	1.84904 
34 	158   	0.442163	34 	2.46581	0.274004	158   	0.381506	6.00667	34 	12 	3  	158   	1.93045 
35 	166   	0.501318	35 	2.34504	0.274004	166   	0.477503	6.07667	35 	12 	3  	166   	1.92114 
36 	152   	0.469035	36 	2.54124	0.274004	152   	0.442939	6.14   	36 	16 	3  	152   	1.99843 
37 	153   	0.486986	37 	2.34504	0.274004	153   	0.444159	6.30333	37 	14 	3  	153   	2.11613 
38 	164   	0.461159	38 	2.19883	0.274004	164   	0.419697	6.37   	38 	14 	3  	164   	2.04608 
39 	168   	0.485177	39 	2.19883	0.274004	168   	0.455827	6.35   	39 	14 	3  	168   	1.89231 
40 	155   	0.498285	40 	2.34504	0.274004	155   	0.473082	6.38   	40 	14 	3  	155   	1.97373 
